tool,rule_id,name,category,kind,cwes,severity,file,line,message
CodeQL,py/command-line-injection,py/command-line-injection,Command Injection,security,CWE-78;CWE-88,High,introduction/mitre.py,233,This command line depends on a [user-provided value](1).
CodeQL,py/command-line-injection,py/command-line-injection,Command Injection,security,CWE-78;CWE-88,High,introduction/views.py,431,This command line depends on a [user-provided value](1).
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,291,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,305,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,319,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,291,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,305,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,319,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,dockerized_labs/insec_des_lab/main.py,36,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,introduction/views.py,214,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,introduction/views.py,560,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/xxe,py/xxe,XXE,security,CWE-611;CWE-827,High,introduction/views.py,260,XML parsing depends on a [user-provided value](1) without guarding against external entity expansion.
CodeQL,py/cookie-injection,py/cookie-injection,Framework Misconfiguration,security,CWE-20,Medium,dockerized_labs/broken_auth_lab/app.py,49,Cookie is constructed from a [user-supplied input](1).
CodeQL,py/cookie-injection,py/cookie-injection,Framework Misconfiguration,security,CWE-20,Medium,dockerized_labs/broken_auth_lab/app.py,51,Cookie is constructed from a [user-supplied input](1).
CodeQL,py/clear-text-storage-sensitive-data,py/clear-text-storage-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-315;CWE-359,High,introduction/playground/A9/archive.py,49,This expression stores [sensitive data (password)](1) as clear text.
CodeQL,py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-359;CWE-532,High,introduction/views.py,159,This expression logs [sensitive data (password)](1) as clear text.
CodeQL,py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-359;CWE-532,High,introduction/views.py,314,This expression logs [sensitive data (password)](1) as clear text.
CodeQL,py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-359;CWE-532,High,introduction/views.py,755,This expression logs [sensitive data (password)](1) as clear text.
CodeQL,py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-359;CWE-532,High,introduction/views.py,861,This expression logs [sensitive data (password)](1) as clear text.
CodeQL,py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-359;CWE-532,High,introduction/views.py,875,This expression logs [sensitive data (password)](1) as clear text.
CodeQL,py/code-injection,py/code-injection,Code Injection,security,CWE-94;CWE-95;CWE-116,High,introduction/mitre.py,218,This code execution depends on a [user-provided value](1).
CodeQL,py/code-injection,py/code-injection,Code Injection,security,CWE-94;CWE-95;CWE-116,High,introduction/views.py,460,This code execution depends on a [user-provided value](1).
CodeQL,py/full-ssrf,py/full-ssrf,SSRF,security,CWE-918,High,introduction/views.py,963,The full URL of this request depends on a [user-provided value](1).
CodeQL,py/path-injection,py/path-injection,Path Traversal,security,CWE-22;CWE-23;CWE-36;CWE-73;CWE-99,High,introduction/views.py,927,This path depends on a [user-provided value](1).
CodeQL,py/xml-bomb,py/xml-bomb,XML Security,security,CWE-776;CWE-400,High,introduction/views.py,260,XML parsing depends on a [user-provided value](1) without guarding against uncontrolled entity expansion.
CodeQL,py/weak-sensitive-data-hashing,py/weak-sensitive-data-hashing,Weak Cryptography,security,CWE-327;CWE-328;CWE-916,High,introduction/mitre.py,161,"[Sensitive data (password)](1) is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function."
CodeQL,py/weak-sensitive-data-hashing,py/weak-sensitive-data-hashing,Weak Cryptography,security,CWE-327;CWE-328;CWE-916,High,introduction/utility.py,59,"[Sensitive data (password)](1) is used in a hashing algorithm (SHA256) that is insecure for password hashing, since it is not a computationally expensive hash function.
[Sensitive data (password)](2) is used in a hashing algorithm (SHA256) that is insecure for password hashing, since it is not a computationally expensive hash function."
CodeQL,py/weak-sensitive-data-hashing,py/weak-sensitive-data-hashing,Weak Cryptography,security,CWE-327;CWE-328;CWE-916,High,introduction/views.py,1026,"[Sensitive data (password)](1) is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function."
CodeQL,py/weak-sensitive-data-hashing,py/weak-sensitive-data-hashing,Weak Cryptography,security,CWE-327;CWE-328;CWE-916,High,introduction/views.py,1194,"[Sensitive data (password)](1) is used in a hashing algorithm (SHA256) that is insecure for password hashing, since it is not a computationally expensive hash function."
CodeQL,py/flask-debug,py/flask-debug,Framework Misconfiguration,security,CWE-215;CWE-489,High,dockerized_labs/broken_auth_lab/app.py,123,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.
CodeQL,py/sql-injection,py/sql-injection,SQL Injection,security,CWE-89,High,introduction/views.py,162,This SQL query depends on a [user-provided value](1).
CodeQL,py/sql-injection,py/sql-injection,SQL Injection,security,CWE-89,High,introduction/views.py,878,This SQL query depends on a [user-provided value](1).
CodeQL,py/log-injection,py/log-injection,Log Injection,security,CWE-117,Medium,introduction/views.py,654,This log entry depends on a [user-provided value](1).
CodeQL,py/log-injection,py/log-injection,Log Injection,security,CWE-117,Medium,introduction/views.py,668,This log entry depends on a [user-provided value](1).
CodeQL,py/log-injection,py/log-injection,Log Injection,security,CWE-117,Medium,introduction/views.py,669,This log entry depends on a [user-provided value](1).
CodeQL,py/log-injection,py/log-injection,Log Injection,security,CWE-117,Medium,introduction/views.py,672,This log entry depends on a [user-provided value](1).
CodeQL,py/shell-command-constructed-from-input,py/shell-command-constructed-from-input,Command Injection,security,CWE-78;CWE-88;CWE-73,Medium,introduction/mitre.py,241,This string concatenation which depends on [library input](1) is later used in a [shell command](2).
CodeQL,py/shell-command-constructed-from-input,py/shell-command-constructed-from-input,Command Injection,security,CWE-78;CWE-88;CWE-73,Medium,introduction/views.py,424,This formatted string which depends on [library input](1) is later used in a [shell command](2).
CodeQL,py/shell-command-constructed-from-input,py/shell-command-constructed-from-input,Command Injection,security,CWE-78;CWE-88;CWE-73,Medium,introduction/views.py,426,This formatted string which depends on [library input](1) is later used in a [shell command](2).
CodeQL,py/commented-out-code,py/commented-out-code,Other,other,,Low,introduction/views.py,58,This comment appears to contain commented-out code.
CodeQL,py/unused-local-variable,py/unused-local-variable,Other,other,CWE-563,Low,introduction/utility.py,53,Variable id is not used.
CodeQL,py/unused-local-variable,py/unused-local-variable,Other,other,CWE-563,Low,challenge/views.py,82,Variable output is not used.
CodeQL,py/unused-local-variable,py/unused-local-variable,Other,other,CWE-563,Low,challenge/views.py,82,Variable error is not used.
CodeQL,py/unused-local-variable,py/unused-local-variable,Other,other,CWE-563,Low,introduction/views.py,268,Variable p is not used.
CodeQL,py/unnecessary-pass,py/unnecessary-pass,Other,other,,Medium,uninstaller.py,90,Unnecessary 'pass' statement.
CodeQL,py/unnecessary-pass,py/unnecessary-pass,Other,other,,Medium,introduction/views.py,1066,Unnecessary 'pass' statement.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,PyGoatBot.py,2,Import of 'BestMatch' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/apis.py,1,Import of 'time' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/apis.py,4,"Import of 'authenticate' is not used.
Import of 'login' is not used."
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/apis.py,6,Import of 'redirect' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/apis.py,10,Import of 'Log' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/apis.py,14,Import of 'authentication_decorator' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,dockerized_labs/broken_auth_lab/app.py,3,Import of 'json' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,dockerized_labs/broken_auth_lab/app.py,4,Import of 'timedelta' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,dockerized_labs/insec_des_lab/main.py,1,Import of 'make_response' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/playground/A9/main.py,1,Import of 'datetime' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/mitre.py,7,"Import of 'HttpResponse' is not used.
Import of 'HttpResponseBadRequest' is not used."
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/lab_code/test.py,18,Import of 'subprocess' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,challenge/tests.py,1,Import of 'TestCase' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/tests.py,1,Import of 'TestCase' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,challenge/urls.py,1,Import of 'include' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,challenge/views.py,4,Import of 'csrf_exempt' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,4,Import of 'json' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,26,Import of 'authenticate' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,27,Import of 'UserCreationForm' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,28,Import of 'serializers' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,29,Import of 'JsonResponse' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,31,Import of 'loader' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,35,Import of 'CaseInsensitiveDict' is not used.
CodeQL,py/unused-import,py/unused-import,Other,other,,Low,introduction/views.py,38,Import of 'info' is not used.
CodeQL,py/polluting-import,py/polluting-import,Other,other,,Low,introduction/apis.py,13,"Import pollutes the enclosing namespace, as the imported module [introduction.utility](1) does not define '__all__'."
CodeQL,py/polluting-import,py/polluting-import,Other,other,,Low,challenge/urls.py,2,"Import pollutes the enclosing namespace, as the imported module [challenge.views](1) does not define '__all__'."
CodeQL,py/polluting-import,py/polluting-import,Other,other,,Low,introduction/utility.py,5,"Import pollutes the enclosing namespace, as the imported module [introduction.models](1) does not define '__all__'."
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/apis.py,69,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/apis.py,72,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/apis.py,76,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/apis.py,85,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/playground/A9/archive.py,48,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/playground/A9/archive.py,54,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/playground/A9/archive.py,60,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/apis.py,133,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/playground/ssrf/main.py,8,File is opened but is not closed.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,setup.py,12,File is opened but is not closed.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/lab_code/test.py,22,File is opened but is not closed.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/utility.py,35,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/views.py,927,File is opened but is not closed.
CodeQL,py/file-not-closed,py/file-not-closed,Resource Management,quality,CWE-772,Medium,introduction/views.py,995,File may not be closed if [this operation](1) raises an exception.
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,25,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,30,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,35,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,40,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,45,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,50,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,55,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,60,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,65,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,70,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,75,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,80,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,85,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,90,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,95,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,100,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,105,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,110,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,115,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,121,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,127,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,133,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,139,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,145,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,150,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,155,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,178,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/mitre.py,238,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,279,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,299,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,397,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,574,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,688,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,822,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,956,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,975,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1003,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1012,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1018,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1034,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1049,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1114,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1122,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1179,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1214,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/mixed-returns,py/mixed-returns,Other,other,,Low,introduction/views.py,1220,"Mixing implicit and explicit returns may indicate an error, as implicit returns always return None."
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,dockerized_labs/broken_auth_lab/app.py,117,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/apis.py,100,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/apis.py,136,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/playground/ssrf/main.py,11,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,challenge/management/commands/populate_challenge.py,17,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/mitre.py,188,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,challenge/views.py,24,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,challenge/views.py,42,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,163,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,294,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,296,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,308,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,322,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,324,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,442,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,461,Except block directly handles BaseException.
CodeQL,py/catch-base-exception,py/catch-base-exception,Unsafe Exception Handling,quality,CWE-396,Low,introduction/views.py,563,Except block directly handles BaseException.
